"FamilyName","Number_of_crosses","Start_of_Seeds_Extraction_Date","End_of_Seeds_Extraction_Date","Total_Seeds_Extracted","Start_of_Sowing","End_of_Sowing","Number_of_Seeds_Sowed","Available_Seeds","Germination_Date","Number_of_Seedlings_Germinating","Transplanting_Date","Number_of_Seedlings_Transplanted","Seedlings_Screenhouse_Number","Survival_Date","Seedlings_Surviving","Harvesting_Date","Number_of_Tubers_Harvested","Storage_Date","Number_of_Tubers_Stored","Storage_Location","Sprouting_Date","Number_of_Sprouting_Tubers","Germination_Rate"
"TDr9518544/TDrAloshie",2,2019-09-08,2019-09-08,38,"2019-09-12","2019-09-12",38,0,2019-09-17,"30",2019-09-26,"30","47",2019-10-08,"28",NA,NA,NA,NA,NA,NA,NA,0.789473684210526
"TDr9518544/TDrAloshie",2,2019-09-08,2019-09-08,38,"2019-09-12","2019-09-12",38,0,2019-09-16,"4",2019-09-26,"30","47",2019-10-08,"28",NA,NA,NA,NA,NA,NA,NA,0.105263157894737
