"rowname","Site","Other","Geopoint","Planting_Date","PlantName","Genotype","Sex","Bagging_Date","BagCode","BagNo"
"1","Ibadan",NA,NA,2019-08-03,"TDr2826A_2_7","TDr2826A","female",2019-08-04,"TDr2826A_2_7_4",6
"1","Ibadan",NA,NA,2019-08-03,"TDr2826A_2_7","TDr2826A","female",2019-08-04,"TDr2826A_2_7_3",5
"1","Ibadan",NA,NA,2019-08-03,"TDr2826A_2_7","TDr2826A","female",2019-08-05,"TDr2826A_2_7_BagNo:6",4
"1","Ibadan",NA,NA,2019-08-03,"TDr2826A_2_7","TDr2826A","female",2019-08-04,"TDr2826A_2_7_2",3
"1","Ibadan",NA,NA,2019-08-03,"TDr2826A_2_7","TDr2826A","female",2019-08-05,"TDr2826A_2_7_BagNo:5",2
"1","Ibadan",NA,NA,2019-08-03,"TDr2826A_2_7","TDr2826A","female",2019-08-04,"TDr2826A_2_7_1",1
"1","Ibadan",NA,NA,2019-08-03,"TDr2826A_2_12","TDr2826A","female",NA,NA,NA
